module,question
1,"Define Artificial Intelligence and explain the major foundations and disciplines that contribute to AI."
1,"Explain the state of the art in Artificial Intelligence with real-world examples."
1,"What is an agent? Explain different types of agents with suitable examples."
1,"Define rational agent. What is rationality in AI and what factors influence it?"
1,"Explain the PEAS (Performance, Environment, Actuators, Sensors) description with examples."
1,"Describe different types of environments in which agents operate with examples."
1,"With a neat diagram explain the structure of an intelligent agent."
1,"Compare simple reflex, model-based reflex, goal-based and utility-based agents."
1,"Explain why designing rational agents is difficult in partially observable and stochastic environments."
1,"Discuss ethical and societal implications of Artificial Intelligence."

2,"Define a problem-solving agent and explain its architecture."
2,"List and explain the components of a well-defined problem using the 8-puzzle example."
2,"Distinguish between state space and search tree with examples."
2,"Explain Breadth-First Search (BFS) with an example. Discuss complexity and optimality."
2,"Explain Depth-First Search (DFS) with an example. Discuss advantages and disadvantages."
2,"Write and explain the uniform-cost search algorithm."
2,"Compare BFS, DFS and Uniform-Cost Search based on complexity and completeness."
2,"Explain depth-limited search and iterative deepening DFS."
2,"Explain uninformed search strategies with suitable examples."
2,"Sketch a portion of the search tree for BFS and DFS for the 8-puzzle and compare results."

3,"What is heuristic search? Define heuristic functions with examples."
3,"Explain best-first search and how heuristic information is used."
3,"Describe greedy best-first search algorithm. Mention its limitations."
3,"Explain the A* search algorithm. Discuss conditions for optimality."
3,"Differentiate between admissible and consistent heuristics with examples."
3,"What is a knowledge-based agent? Explain its architecture."
3,"Explain the Wumpus World problem using diagrams."
3,"Define syntax and semantics of propositional logic with examples."
3,"Explain rules of inference used in propositional logic."
3,"What is entailment in logic? Explain how entailment relates to inference."

4,"Compare propositional logic and first-order logic. Why is FOL more expressive?"
4,"Explain the syntax of first-order logic with constants, variables, predicates and functions."
4,"Explain the semantics of FOL with suitable interpretations."
4,"Translate English sentences into FOL representations (minimum five examples)."
4,"Explain knowledge engineering in FOL with proper steps."
4,"What is unification? Explain the unification algorithm with examples."
4,"Explain forward chaining in first-order logic."
4,"Explain backward chaining and compare it with forward chaining."
4,"Define Generalized Modus Ponens with an example."
4,"Explain how rule-based expert systems are built using FOL."

5,"Explain resolution in propositional logic and extend it to first-order logic with examples."
5,"Describe steps to convert FOL sentences into clause normal form (CNF)."
5,"Explain refutation using resolution with an example knowledge base."
5,"Discuss limitations of resolution as an inference method."
5,"Define classical planning and explain the assumptions made in classical planning."
5,"Explain STRIPS representation of states and actions with examples."
5,"Describe state-space search in planning and how it differs from problem-solving search."
5,"What is a planning graph? Explain construction and use in planning."
5,"Explain forward state-space planning and backward regression planning with examples."
5,"Discuss real-world applications of planning in AI."
